Podstawa;Dno;Kubek
420;51,2;64,25
421;51,1;64,19
422;51;64,12
423;51;64,06
424;50,9;64
425;50,9;63,94
426;50,9;63,88
427;50,8;63,81
428;50,8;63,75
429;50,8;63,69
430;50,7;63,63
431;50,6;63,56
432;50,5;63,5
433;50,5;63,44
434;50,4;63,38
435;50,4;63,31
436;50,4;63,25
437;50,4;63,19
438;50,3;63,13
439;50,3;63,06
440;50,3;63
441;50,3;62,94
442;50,2;62,88
443;50,2;62,81
444;50,1;62,75
445;50,1;62,69
446;50;62,63
447;50;62,56
448;49,9;62,5
449;49,9;62,44
450;49,8;62,38
451;49,8;62,31
452;49,7;62,25
453;49,7;62,19
454;49,6;62,13
455;49,5;62,06
456;49,5;62
457;49,4;61,94
458;49,3;61,88
459;49,2;61,81
460;49,2;61,75
461;49,2;61,69
462;49,2;61,63
463;49,1;61,56
464;49,1;61,5
465;49,1;61,44
466;49;61,38
467;49;61,31
468;48,9;61,25
469;48,9;61,25
470;48,9;61,19
471;48,8;61,13
472;48,8;61,06
473;48,8;61,06
474;48,7;61
475;48,6;60,94
476;48,6;60,88
477;48,6;60,81
478;48,5;60,75
479;48,5;60,69
480;48,4;60,63
481;48,4;60,56
482;48,3;60,5
483;48,3;60,44
484;48,3;60,38
485;48,2;60,31
486;48,2;60,25
487;48,2;60,19
488;48,2;60,13
489;48,1;60,06
490;48;60
491;48;59,94
492;48;59,88
493;48;59,81
494;47,9;59,75
495;47,9;59,69
496;47,9;59,63
497;47,8;59,56
498;47,8;59,5
499;47,7;59,44
500;47,7;59,38
501;47,7;59,31
502;47,6;59,31
503;47,6;59,25
504;47,5;59,19
505;47,5;59,19
506;47,5;59,19
507;47,4;59,13
508;47,4;59,06
509;47,4;59
510;47,3;58,94
511;47,2;58,88
512;47,2;58,81
513;47,1;58,75
514;47,1;58,69
515;47,1;58,63
516;47,1;58,56
517;47;58,5
518;47;58,44
519;47;58,38
520;47;58,31
521;46,9;58,25
522;46,9;58,19
523;46,8;58,13
524;46,8;58,06
525;46,7;58
526;46,7;57,94
527;46,7;57,94
528;46,6;57,88
529;46,6;57,81
530;46,5;57,75
531;46,5;57,69
532;46,5;57,63
533;46,4;57,56
534;46,4;57,5
535;46,4;57,44
536;46,4;57,38
537;46,3;57,31
538;46,3;57,25
539;46,2;57,19
540;46,2;57,13
541;46,1;57,06
542;46;57,06
543;46;57
544;46;56,94
545;45,9;56,88
546;45,9;56,81
547;45,8;56,75
548;45,8;56,69
549;45,7;56,63
550;45,7;56,56
551;45,6;56,5
552;45,6;56,44
553;45,5;56,38
554;45,5;56,38
555;45,5;56,31
556;45,4;56,25
557;45,4;56,19
558;45,4;56,13
559;45,3;56,06
560;45,3;56
561;45,3;55,94
562;45,2;55,88
563;45,2;55,81
564;45,1;55,75
